Insurer,Ward Class,Plan Type,Plan Name,Age,Premium in MA,Premium in Cash
Income,Private,Base,Enhanced IncomeShield Preferred,45,600,200
Income,Private,Base,Enhanced IncomeShield Preferred,46,600,409
Income,Private,Base,Enhanced IncomeShield Preferred,47,600,409
Income,Private,Base,Enhanced IncomeShield Preferred,48,600,409
Income,Private,Base,Enhanced IncomeShield Preferred,49,600,409
Income,Private,Base,Enhanced IncomeShield Preferred,50,600,409
Income,Private,Base,Enhanced IncomeShield Preferred,51,600,720
Income,Private,Base,Enhanced IncomeShield Preferred,52,600,720
Income,Private,Base,Enhanced IncomeShield Preferred,53,600,720
Income,Private,Base,Enhanced IncomeShield Preferred,54,600,720
Income,Private,Base,Enhanced IncomeShield Preferred,55,600,720
Income,Private,Base,Enhanced IncomeShield Preferred,56,600,1087
Income,Private,Base,Enhanced IncomeShield Preferred,57,600,1087
Income,Private,Base,Enhanced IncomeShield Preferred,58,600,1087
Income,Private,Base,Enhanced IncomeShield Preferred,59,600,1087
Income,Private,Base,Enhanced IncomeShield Preferred,60,600,1087
Income,Private,Base,Enhanced IncomeShield Preferred,61,600,1662
Income,Private,Base,Enhanced IncomeShield Preferred,62,600,1662
Income,Private,Base,Enhanced IncomeShield Preferred,63,600,1662
Income,Private,Base,Enhanced IncomeShield Preferred,64,600,1662
Income,Private,Base,Enhanced IncomeShield Preferred,65,600,1662
Income,Private,Base,Enhanced IncomeShield Preferred,66,600,2548
Income,Private,Base,Enhanced IncomeShield Preferred,67,600,2548
Income,Private,Base,Enhanced IncomeShield Preferred,68,600,2548
Income,Private,Base,Enhanced IncomeShield Preferred,69,600,2548
Income,Private,Base,Enhanced IncomeShield Preferred,70,600,2548
Income,Private,Base,Enhanced IncomeShield Preferred,71,900,3232
Income,Private,Base,Enhanced IncomeShield Preferred,72,900,3232
Income,Private,Base,Enhanced IncomeShield Preferred,73,900,3232
Income,Private,Base,Enhanced IncomeShield Preferred,74,900,3819
Income,Private,Base,Enhanced IncomeShield Preferred,75,900,3819
Income,Private,Base,Enhanced IncomeShield Preferred,76,900,4418
Income,Private,Base,Enhanced IncomeShield Preferred,77,900,4418
Income,Private,Base,Enhanced IncomeShield Preferred,78,900,4418
Income,Private,Base,Enhanced IncomeShield Preferred,79,900,5090
Income,Private,Base,Enhanced IncomeShield Preferred,80,900,5090
Income,Private,Base,Enhanced IncomeShield Preferred,81,900,5396
Income,Private,Base,Enhanced IncomeShield Preferred,82,900,5396
Income,Private,Base,Enhanced IncomeShield Preferred,83,900,5396
Income,Private,Base,Enhanced IncomeShield Preferred,84,900,6251
Income,Private,Base,Enhanced IncomeShield Preferred,85,900,6251
Income,Private,Base,Enhanced IncomeShield Preferred,86,900,6936
Income,Private,Base,Enhanced IncomeShield Preferred,87,900,6936
Income,Private,Base,Enhanced IncomeShield Preferred,88,900,6936
Income,Private,Base,Enhanced IncomeShield Preferred,89,900,7688
Income,Private,Base,Enhanced IncomeShield Preferred,90,900,7688
Income,Private,Base,Enhanced IncomeShield Preferred,91,900,8268
Income,Private,Base,Enhanced IncomeShield Preferred,92,900,8268
Income,Private,Base,Enhanced IncomeShield Preferred,93,900,8268
Income,Private,Base,Enhanced IncomeShield Preferred,94,900,8938
Income,Private,Base,Enhanced IncomeShield Preferred,95,900,8938
Income,Private,Base,Enhanced IncomeShield Preferred,96,900,9491
Income,Private,Base,Enhanced IncomeShield Preferred,97,900,9491
Income,Private,Base,Enhanced IncomeShield Preferred,98,900,9491
Income,Private,Base,Enhanced IncomeShield Preferred,99,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,100,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,101,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,102,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,103,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,104,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,105,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,106,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,107,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,108,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,109,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,110,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,111,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,112,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,113,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,114,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,115,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,116,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,117,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,118,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,119,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,120,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,121,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,122,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,123,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,124,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,125,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,126,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,127,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,128,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,129,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,130,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,131,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,132,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,133,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,134,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,135,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,136,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,137,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,138,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,139,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,140,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,141,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,142,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,143,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,144,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,145,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,146,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,147,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,148,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,149,900,10163
Income,Private,Base,Enhanced IncomeShield Preferred,150,900,10163
Income,Private,Rider,Deluxe Care,1,0,739
Income,Private,Rider,Deluxe Care,2,0,739
Income,Private,Rider,Deluxe Care,3,0,739
Income,Private,Rider,Deluxe Care,4,0,739
Income,Private,Rider,Deluxe Care,5,0,739
Income,Private,Rider,Deluxe Care,6,0,739
Income,Private,Rider,Deluxe Care,7,0,739
Income,Private,Rider,Deluxe Care,8,0,739
Income,Private,Rider,Deluxe Care,9,0,739
Income,Private,Rider,Deluxe Care,10,0,739
Income,Private,Rider,Deluxe Care,11,0,739
Income,Private,Rider,Deluxe Care,12,0,739
Income,Private,Rider,Deluxe Care,13,0,739
Income,Private,Rider,Deluxe Care,14,0,739
Income,Private,Rider,Deluxe Care,15,0,739
Income,Private,Rider,Deluxe Care,16,0,739
Income,Private,Rider,Deluxe Care,17,0,739
Income,Private,Rider,Deluxe Care,18,0,739
Income,Private,Rider,Deluxe Care,19,0,774
Income,Private,Rider,Deluxe Care,20,0,774
Income,Private,Rider,Deluxe Care,21,0,823
Income,Private,Rider,Deluxe Care,22,0,823
Income,Private,Rider,Deluxe Care,23,0,823
Income,Private,Rider,Deluxe Care,24,0,823
Income,Private,Rider,Deluxe Care,25,0,823
Income,Private,Rider,Deluxe Care,26,0,875
Income,Private,Rider,Deluxe Care,27,0,875
Income,Private,Rider,Deluxe Care,28,0,875
Income,Private,Rider,Deluxe Care,29,0,875
Income,Private,Rider,Deluxe Care,30,0,875
Income,Private,Rider,Deluxe Care,31,0,976
Income,Private,Rider,Deluxe Care,32,0,976
Income,Private,Rider,Deluxe Care,33,0,976
Income,Private,Rider,Deluxe Care,34,0,976
Income,Private,Rider,Deluxe Care,35,0,976
Income,Private,Rider,Deluxe Care,36,0,1028
Income,Private,Rider,Deluxe Care,37,0,1028
Income,Private,Rider,Deluxe Care,38,0,1028
Income,Private,Rider,Deluxe Care,39,0,1028
Income,Private,Rider,Deluxe Care,40,0,1028
Income,Private,Rider,Deluxe Care,41,0,1490
Income,Private,Rider,Deluxe Care,42,0,1490
Income,Private,Rider,Deluxe Care,43,0,1490
Income,Private,Rider,Deluxe Care,44,0,1490
Income,Private,Rider,Deluxe Care,45,0,1490
Income,Private,Rider,Deluxe Care,46,0,1626
Income,Private,Rider,Deluxe Care,47,0,1626
Income,Private,Rider,Deluxe Care,48,0,1626
Income,Private,Rider,Deluxe Care,49,0,1626
Income,Private,Rider,Deluxe Care,50,0,1626
Income,Private,Rider,Deluxe Care,51,0,2629
Income,Private,Rider,Deluxe Care,52,0,2629
Income,Private,Rider,Deluxe Care,53,0,2629
Income,Private,Rider,Deluxe Care,54,0,2629
Income,Private,Rider,Deluxe Care,55,0,2629
Income,Private,Rider,Deluxe Care,56,0,3572
Income,Private,Rider,Deluxe Care,57,0,3572
Income,Private,Rider,Deluxe Care,58,0,3572
Income,Private,Rider,Deluxe Care,59,0,3572
Income,Private,Rider,Deluxe Care,60,0,3572
Income,Private,Rider,Deluxe Care,61,0,5158
Income,Private,Rider,Deluxe Care,62,0,5158
Income,Private,Rider,Deluxe Care,63,0,5158
Income,Private,Rider,Deluxe Care,64,0,5158
Income,Private,Rider,Deluxe Care,65,0,5158
Income,Private,Rider,Deluxe Care,66,0,6994
Income,Private,Rider,Deluxe Care,67,0,6994
Income,Private,Rider,Deluxe Care,68,0,6994
Income,Private,Rider,Deluxe Care,69,0,6994
Income,Private,Rider,Deluxe Care,70,0,6994
Income,Private,Rider,Deluxe Care,71,0,8527
Income,Private,Rider,Deluxe Care,72,0,8527
Income,Private,Rider,Deluxe Care,73,0,8527
Income,Private,Rider,Deluxe Care,74,0,9445
Income,Private,Rider,Deluxe Care,75,0,9445
Income,Private,Rider,Deluxe Care,76,0,10791
Income,Private,Rider,Deluxe Care,77,0,10791
Income,Private,Rider,Deluxe Care,78,0,10791
Income,Private,Rider,Deluxe Care,79,0,11346
Income,Private,Rider,Deluxe Care,80,0,11346
Income,Private,Rider,Deluxe Care,81,0,12221
Income,Private,Rider,Deluxe Care,82,0,12221
Income,Private,Rider,Deluxe Care,83,0,12221
Income,Private,Rider,Deluxe Care,84,0,12590
Income,Private,Rider,Deluxe Care,85,0,12590
Income,Private,Rider,Deluxe Care,86,0,12828
Income,Private,Rider,Deluxe Care,87,0,12828
Income,Private,Rider,Deluxe Care,88,0,12828
Income,Private,Rider,Deluxe Care,89,0,13057
Income,Private,Rider,Deluxe Care,90,0,13057
Income,Private,Rider,Deluxe Care,91,0,13325
Income,Private,Rider,Deluxe Care,92,0,13325
Income,Private,Rider,Deluxe Care,93,0,13325
Income,Private,Rider,Deluxe Care,94,0,13620
Income,Private,Rider,Deluxe Care,95,0,13620
Income,Private,Rider,Deluxe Care,96,0,13872
Income,Private,Rider,Deluxe Care,97,0,13872
Income,Private,Rider,Deluxe Care,98,0,13872
Income,Private,Rider,Deluxe Care,99,0,14159
Income,Private,Rider,Deluxe Care,100,0,14159
Income,Private,Rider,Deluxe Care,101,0,14159
Income,Private,Rider,Deluxe Care,102,0,14159
Income,Private,Rider,Deluxe Care,103,0,14159
Income,Private,Rider,Deluxe Care,104,0,14159
Income,Private,Rider,Deluxe Care,105,0,14159
Income,Private,Rider,Deluxe Care,106,0,14159
Income,Private,Rider,Deluxe Care,107,0,14159
Income,Private,Rider,Deluxe Care,108,0,14159
Income,Private,Rider,Deluxe Care,109,0,14159
Income,Private,Rider,Deluxe Care,110,0,14159
Income,Private,Rider,Deluxe Care,111,0,14159
Income,Private,Rider,Deluxe Care,112,0,14159
Income,Private,Rider,Deluxe Care,113,0,14159
Income,Private,Rider,Deluxe Care,114,0,14159
Income,Private,Rider,Deluxe Care,115,0,14159
Income,Private,Rider,Deluxe Care,116,0,14159
Income,Private,Rider,Deluxe Care,117,0,14159
Income,Private,Rider,Deluxe Care,118,0,14159
Income,Private,Rider,Deluxe Care,119,0,14159
Income,Private,Rider,Deluxe Care,120,0,14159
Income,Private,Rider,Deluxe Care,121,0,14159
Income,Private,Rider,Deluxe Care,122,0,14159
Income,Private,Rider,Deluxe Care,123,0,14159
Income,Private,Rider,Deluxe Care,124,0,14159
Income,Private,Rider,Deluxe Care,125,0,14159
Income,Private,Rider,Deluxe Care,126,0,14159
Income,Private,Rider,Deluxe Care,127,0,14159
Income,Private,Rider,Deluxe Care,128,0,14159
Income,Private,Rider,Deluxe Care,129,0,14159
Income,Private,Rider,Deluxe Care,130,0,14159
Income,Private,Rider,Deluxe Care,131,0,14159
Income,Private,Rider,Deluxe Care,132,0,14159
Income,Private,Rider,Deluxe Care,133,0,14159
Income,Private,Rider,Deluxe Care,134,0,14159
Income,Private,Rider,Deluxe Care,135,0,14159
Income,Private,Rider,Deluxe Care,136,0,14159
Income,Private,Rider,Deluxe Care,137,0,14159
Income,Private,Rider,Deluxe Care,138,0,14159
Income,Private,Rider,Deluxe Care,139,0,14159
Income,Private,Rider,Deluxe Care,140,0,14159
Income,Private,Rider,Deluxe Care,141,0,14159
Income,Private,Rider,Deluxe Care,142,0,14159
Income,Private,Rider,Deluxe Care,143,0,14159
Income,Private,Rider,Deluxe Care,144,0,14159
Income,Private,Rider,Deluxe Care,145,0,14159
Income,Private,Rider,Deluxe Care,146,0,14159
Income,Private,Rider,Deluxe Care,147,0,14159
Income,Private,Rider,Deluxe Care,148,0,14159
Income,Private,Rider,Deluxe Care,149,0,14159
Income,Private,Rider,Deluxe Care,150,0,14159
Income,Private,Rider,Classic Care,1,0,348
Income,Private,Rider,Classic Care,2,0,348
Income,Private,Rider,Classic Care,3,0,348
Income,Private,Rider,Classic Care,4,0,348
Income,Private,Rider,Classic Care,5,0,348
Income,Private,Rider,Classic Care,6,0,348
Income,Private,Rider,Classic Care,7,0,348
Income,Private,Rider,Classic Care,8,0,348
Income,Private,Rider,Classic Care,9,0,348
Income,Private,Rider,Classic Care,10,0,348
Income,Private,Rider,Classic Care,11,0,348
Income,Private,Rider,Classic Care,12,0,348
Income,Private,Rider,Classic Care,13,0,348
Income,Private,Rider,Classic Care,14,0,348
Income,Private,Rider,Classic Care,15,0,348
Income,Private,Rider,Classic Care,16,0,348
Income,Private,Rider,Classic Care,17,0,348
Income,Private,Rider,Classic Care,18,0,348
Income,Private,Rider,Classic Care,19,0,357
Income,Private,Rider,Classic Care,20,0,357
Income,Private,Rider,Classic Care,21,0,342
Income,Private,Rider,Classic Care,22,0,342
Income,Private,Rider,Classic Care,23,0,342
Income,Private,Rider,Classic Care,24,0,342
Income,Private,Rider,Classic Care,25,0,342
Income,Private,Rider,Classic Care,26,0,376
Income,Private,Rider,Classic Care,27,0,376
Income,Private,Rider,Classic Care,28,0,376
Income,Private,Rider,Classic Care,29,0,376
Income,Private,Rider,Classic Care,30,0,376
Income,Private,Rider,Classic Care,31,0,394
Income,Private,Rider,Classic Care,32,0,394
Income,Private,Rider,Classic Care,33,0,394
Income,Private,Rider,Classic Care,34,0,394
Income,Private,Rider,Classic Care,35,0,394
Income,Private,Rider,Classic Care,36,0,446
Income,Private,Rider,Classic Care,37,0,446
Income,Private,Rider,Classic Care,38,0,446
Income,Private,Rider,Classic Care,39,0,446
Income,Private,Rider,Classic Care,40,0,446
Income,Private,Rider,Classic Care,41,0,585
Income,Private,Rider,Classic Care,42,0,585
Income,Private,Rider,Classic Care,43,0,585
Income,Private,Rider,Classic Care,44,0,585
Income,Private,Rider,Classic Care,45,0,585
Income,Private,Rider,Classic Care,46,0,874
Income,Private,Rider,Classic Care,47,0,874
Income,Private,Rider,Classic Care,48,0,874
Income,Private,Rider,Classic Care,49,0,874
Income,Private,Rider,Classic Care,50,0,874
Income,Private,Rider,Classic Care,51,0,1381
Income,Private,Rider,Classic Care,52,0,1381
Income,Private,Rider,Classic Care,53,0,1381
Income,Private,Rider,Classic Care,54,0,1381
Income,Private,Rider,Classic Care,55,0,1381
Income,Private,Rider,Classic Care,56,0,1643
Income,Private,Rider,Classic Care,57,0,1643
Income,Private,Rider,Classic Care,58,0,1643
Income,Private,Rider,Classic Care,59,0,1643
Income,Private,Rider,Classic Care,60,0,1643
Income,Private,Rider,Classic Care,61,0,2384
Income,Private,Rider,Classic Care,62,0,2384
Income,Private,Rider,Classic Care,63,0,2384
Income,Private,Rider,Classic Care,64,0,2384
Income,Private,Rider,Classic Care,65,0,2384
Income,Private,Rider,Classic Care,66,0,3188
Income,Private,Rider,Classic Care,67,0,3188
Income,Private,Rider,Classic Care,68,0,3188
Income,Private,Rider,Classic Care,69,0,3188
Income,Private,Rider,Classic Care,70,0,3188
Income,Private,Rider,Classic Care,71,0,4389
Income,Private,Rider,Classic Care,72,0,4389
Income,Private,Rider,Classic Care,73,0,4389
Income,Private,Rider,Classic Care,74,0,4919
Income,Private,Rider,Classic Care,75,0,4919
Income,Private,Rider,Classic Care,76,0,5641
Income,Private,Rider,Classic Care,77,0,5641
Income,Private,Rider,Classic Care,78,0,5641
Income,Private,Rider,Classic Care,79,0,6738
Income,Private,Rider,Classic Care,80,0,6738
Income,Private,Rider,Classic Care,81,0,6851
Income,Private,Rider,Classic Care,82,0,6851
Income,Private,Rider,Classic Care,83,0,6851
Income,Private,Rider,Classic Care,84,0,7144
Income,Private,Rider,Classic Care,85,0,7144
Income,Private,Rider,Classic Care,86,0,7735
Income,Private,Rider,Classic Care,87,0,7735
Income,Private,Rider,Classic Care,88,0,7735
Income,Private,Rider,Classic Care,89,0,7995
Income,Private,Rider,Classic Care,90,0,7995
Income,Private,Rider,Classic Care,91,0,8180
Income,Private,Rider,Classic Care,92,0,8180
Income,Private,Rider,Classic Care,93,0,8180
Income,Private,Rider,Classic Care,94,0,8433
Income,Private,Rider,Classic Care,95,0,8433
Income,Private,Rider,Classic Care,96,0,8612
Income,Private,Rider,Classic Care,97,0,8612
Income,Private,Rider,Classic Care,98,0,8612
Income,Private,Rider,Classic Care,99,0,8836
Income,Private,Rider,Classic Care,100,0,8836
Income,Private,Rider,Classic Care,101,0,8836
Income,Private,Rider,Classic Care,102,0,8836
Income,Private,Rider,Classic Care,103,0,8836
Income,Private,Rider,Classic Care,104,0,8836
Income,Private,Rider,Classic Care,105,0,8836
Income,Private,Rider,Classic Care,106,0,8836
Income,Private,Rider,Classic Care,107,0,8836
Income,Private,Rider,Classic Care,108,0,8836
Income,Private,Rider,Classic Care,109,0,8836
Income,Private,Rider,Classic Care,110,0,8836
Income,Private,Rider,Classic Care,111,0,8836
Income,Private,Rider,Classic Care,112,0,8836
Income,Private,Rider,Classic Care,113,0,8836
Income,Private,Rider,Classic Care,114,0,8836
Income,Private,Rider,Classic Care,115,0,8836
Income,Private,Rider,Classic Care,116,0,8836
Income,Private,Rider,Classic Care,117,0,8836
Income,Private,Rider,Classic Care,118,0,8836
Income,Private,Rider,Classic Care,119,0,8836
Income,Private,Rider,Classic Care,120,0,8836
Income,Private,Rider,Classic Care,121,0,8836
Income,Private,Rider,Classic Care,122,0,8836
Income,Private,Rider,Classic Care,123,0,8836
Income,Private,Rider,Classic Care,124,0,8836
Income,Private,Rider,Classic Care,125,0,8836
Income,Private,Rider,Classic Care,126,0,8836
Income,Private,Rider,Classic Care,127,0,8836
Income,Private,Rider,Classic Care,128,0,8836
Income,Private,Rider,Classic Care,129,0,8836
Income,Private,Rider,Classic Care,130,0,8836
Income,Private,Rider,Classic Care,131,0,8836
Income,Private,Rider,Classic Care,132,0,8836
Income,Private,Rider,Classic Care,133,0,8836
Income,Private,Rider,Classic Care,134,0,8836
Income,Private,Rider,Classic Care,135,0,8836
Income,Private,Rider,Classic Care,136,0,8836
Income,Private,Rider,Classic Care,137,0,8836
Income,Private,Rider,Classic Care,138,0,8836
Income,Private,Rider,Classic Care,139,0,8836
Income,Private,Rider,Classic Care,140,0,8836
Income,Private,Rider,Classic Care,141,0,8836
Income,Private,Rider,Classic Care,142,0,8836
Income,Private,Rider,Classic Care,143,0,8836
Income,Private,Rider,Classic Care,144,0,8836
Income,Private,Rider,Classic Care,145,0,8836
Income,Private,Rider,Classic Care,146,0,8836
Income,Private,Rider,Classic Care,147,0,8836
Income,Private,Rider,Classic Care,148,0,8836
Income,Private,Rider,Classic Care,149,0,8836
Income,Private,Rider,Classic Care,150,0,8836
Income,A Ward,Base,Enhanced IncomeShield Advantage,1,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,2,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,3,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,4,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,5,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,6,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,7,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,8,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,9,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,10,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,11,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,12,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,13,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,14,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,15,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,16,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,17,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,18,41,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,19,64,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,20,64,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,21,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,22,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,23,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,24,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,25,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,26,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,27,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,28,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,29,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,30,58,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,31,100,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,32,100,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,33,100,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,34,100,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,35,100,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,36,125,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,37,125,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,38,125,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,39,125,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,40,125,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,41,223,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,42,223,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,43,223,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,44,223,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,45,223,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,46,251,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,47,251,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,48,251,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,49,251,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,50,251,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,51,394,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,52,394,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,53,394,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,54,394,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,55,394,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,56,436,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,57,436,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,58,436,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,59,436,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,60,436,0
Income,A Ward,Base,Enhanced IncomeShield Advantage,61,600,102
Income,A Ward,Base,Enhanced IncomeShield Advantage,62,600,102
